Image.Name,Wiggle.Index
(RAL_100).(100ppm).(0min).(plate2).(Imidacloprid).(20.6.15)(8-7-201511-12-19AM)LowLeft.tif,7.8227
(RAL_100).(100ppm).(0min).(plate2).(Imidacloprid).(20.6.15)(8-7-201511-12-19AM)LowRight.tif,4.366
(RAL_100).(100ppm).(0min).(plate2).(Imidacloprid).(20.6.15)(8-7-201511-12-19AM)TopLeft.tif,7.0676
(RAL_100).(100ppm).(0min).(plate2).(Imidacloprid).(20.6.15)(8-7-201511-12-19AM)TopRight.tif,6.4608
(RAL_100).(100ppm).(0min).(plate2).(Imidacloprid).(21.6.15)(8-7-201511-12-20AM)LowLeft.tif,7.6899
(RAL_100).(100ppm).(0min).(plate2).(Imidacloprid).(21.6.15)(8-7-201511-12-20AM)LowRight.tif,9.0804
(RAL_100).(100ppm).(0min).(plate2).(Imidacloprid).(21.6.15)(8-7-201511-12-20AM)TopLeft.tif,8.7151
(RAL_100).(100ppm).(0min).(plate2).(Imidacloprid).(21.6.15)(8-7-201511-12-20AM)TopRight.tif,8.6012
(RAL_100).(100ppm).(60min).(plate2).(Imidacloprid).(20.6.15)(8-7-201511-12-21AM)LowLeft.tif,2.4427
(RAL_100).(100ppm).(60min).(plate2).(Imidacloprid).(20.6.15)(8-7-201511-12-21AM)LowRight.tif,2.0751
(RAL_100).(100ppm).(60min).(plate2).(Imidacloprid).(20.6.15)(8-7-201511-12-21AM)TopLeft.tif,2.8465
(RAL_100).(100ppm).(60min).(plate2).(Imidacloprid).(20.6.15)(8-7-201511-12-21AM)TopRight.tif,3.7004
(RAL_100).(100ppm).(60min).(plate2).(Imidacloprid).(21.6.15)(8-7-201511-12-22AM)LowLeft.tif,5.4737
(RAL_100).(100ppm).(60min).(plate2).(Imidacloprid).(21.6.15)(8-7-201511-12-22AM)LowRight.tif,4.9148
(RAL_100).(100ppm).(60min).(plate2).(Imidacloprid).(21.6.15)(8-7-201511-12-22AM)TopLeft.tif,5.8891
(RAL_100).(100ppm).(60min).(plate2).(Imidacloprid).(21.6.15)(8-7-201511-12-22AM)TopRight.tif,6.351
(RAL_100).(25ppm).(0min).(plate2).(Imidacloprid).(20.6.15)(8-7-201511-12-14AM)LowLeft.tif,4.5058
(RAL_100).(25ppm).(0min).(plate2).(Imidacloprid).(20.6.15)(8-7-201511-12-14AM)LowRight.tif,4.8731
(RAL_100).(25ppm).(0min).(plate2).(Imidacloprid).(20.6.15)(8-7-201511-12-14AM)TopLeft.tif,4.8042
(RAL_100).(25ppm).(0min).(plate2).(Imidacloprid).(20.6.15)(8-7-201511-12-14AM)TopRight.tif,5.818
(RAL_100).(25ppm).(0min).(plate2).(Imidacloprid).(21.6.15)(8-7-201511-12-15AM)LowLeft.tif,10.2717
(RAL_100).(25ppm).(0min).(plate2).(Imidacloprid).(21.6.15)(8-7-201511-12-15AM)LowRight.tif,8.0126
(RAL_100).(25ppm).(0min).(plate2).(Imidacloprid).(21.6.15)(8-7-201511-12-15AM)TopLeft.tif,11.9934
(RAL_100).(25ppm).(0min).(plate2).(Imidacloprid).(21.6.15)(8-7-201511-12-15AM)TopRight.tif,7.9678
(RAL_100).(25ppm).(60min).(plate2).(Imidacloprid).(20.6.15)(8-7-201511-12-16AM)LowLeft.tif,2.6814
(RAL_100).(25ppm).(60min).(plate2).(Imidacloprid).(20.6.15)(8-7-201511-12-16AM)LowRight.tif,2.9944
(RAL_100).(25ppm).(60min).(plate2).(Imidacloprid).(20.6.15)(8-7-201511-12-16AM)TopLeft.tif,3.6195
(RAL_100).(25ppm).(60min).(plate2).(Imidacloprid).(20.6.15)(8-7-201511-12-16AM)TopRight.tif,4.036
(RAL_100).(25ppm).(60min).(plate2).(Imidacloprid).(21.6.15)(8-7-201511-12-18AM)LowLeft.tif,7.6796
(RAL_100).(25ppm).(60min).(plate2).(Imidacloprid).(21.6.15)(8-7-201511-12-18AM)LowRight.tif,6.3407
(RAL_100).(25ppm).(60min).(plate2).(Imidacloprid).(21.6.15)(8-7-201511-12-18AM)TopLeft.tif,8.0787
(RAL_100).(25ppm).(60min).(plate2).(Imidacloprid).(21.6.15)(8-7-201511-12-18AM)TopRight.tif,6.2672
(RAL_101).(100ppm).(0min).(plate1).(Imidacloprid).(7.1.15)(8-7-201511-12-26AM)LowLeft.tif,12.8673
(RAL_101).(100ppm).(0min).(plate1).(Imidacloprid).(7.1.15)(8-7-201511-12-26AM)LowRight.tif,8.379
(RAL_101).(100ppm).(0min).(plate1).(Imidacloprid).(7.1.15)(8-7-201511-12-26AM)TopLeft.tif,10.712
(RAL_101).(100ppm).(0min).(plate1).(Imidacloprid).(7.1.15)(8-7-201511-12-26AM)TopRight.tif,9.9909
(RAL_101).(100ppm).(0min).(plate2).(Imidacloprid).(7.1.15)(8-7-201511-12-28AM)LowLeft.tif,10.3757
(RAL_101).(100ppm).(0min).(plate2).(Imidacloprid).(7.1.15)(8-7-201511-12-28AM)LowRight.tif,9.098
(RAL_101).(100ppm).(0min).(plate2).(Imidacloprid).(7.1.15)(8-7-201511-12-28AM)TopLeft.tif,11.5642
(RAL_101).(100ppm).(0min).(plate2).(Imidacloprid).(7.1.15)(8-7-201511-12-28AM)TopRight.tif,10.5746
(RAL_101).(100ppm).(60min).(plate1).(Imidacloprid).(7.1.15)(8-7-201511-12-29AM)LowLeft.tif,7.4334
(RAL_101).(100ppm).(60min).(plate1).(Imidacloprid).(7.1.15)(8-7-201511-12-29AM)LowRight.tif,7.3565
(RAL_101).(100ppm).(60min).(plate1).(Imidacloprid).(7.1.15)(8-7-201511-12-29AM)TopLeft.tif,9.8526
