Well,Fluor,Target,Content,Sample,Biological Set Name,Cq
A01,SYBR,RP49,Unkn-01,776,,17.85561035
A02,SYBR,RP49,Unkn-01,776,,19.03091813
A03,SYBR,RP49,Unkn-01,776,,18.55072395
A04,SYBR,RP49,Unkn-02,776,,17.32961749
A05,SYBR,RP49,Unkn-02,776,,17.63288359
A06,SYBR,RP49,Unkn-02,776,,17.55172748
A07,SYBR,RP49,Unkn-03,776,,18.03319667
A08,SYBR,RP49,Unkn-03,776,,17.8801621
A09,SYBR,RP49,Unkn-03,776,,18.19316061
A10,SYBR,RP49,Unkn-04,776,,18.10576015
A11,SYBR,RP49,Unkn-04,776,,18.33294194
A12,SYBR,RP49,Unkn-04,776,,18.0923144
A13,SYBR,RP49,Unkn-05,776,,18.09352145
A14,SYBR,RP49,Unkn-05,776,,17.53381167
A15,SYBR,RP49,Unkn-05,776,,17.51227115
B01,SYBR,RP49,Unkn-06,138,,18.13401532
B02,SYBR,RP49,Unkn-06,138,,18.38931089
B03,SYBR,RP49,Unkn-06,138,,18.23723078
B04,SYBR,RP49,Unkn-07,138,,19.02213482
B05,SYBR,RP49,Unkn-07,138,,18.29105215
B06,SYBR,RP49,Unkn-07,138,,18.52297916
B07,SYBR,RP49,Unkn-08,138,,18.30076697
B08,SYBR,RP49,Unkn-08,138,,18.32966562
B09,SYBR,RP49,Unkn-08,138,,17.95369678
B10,SYBR,RP49,Unkn-09,138,,18.25580711
B11,SYBR,RP49,Unkn-09,138,,18.26690672
B12,SYBR,RP49,Unkn-09,138,,18.25850592
B13,SYBR,RP49,Unkn-10,138,,18.25532241
B14,SYBR,RP49,Unkn-10,138,,18.19841084
B15,SYBR,RP49,Unkn-10,138,,17.97676491
C01,SYBR,RP49,Unkn-11,843,,17.37935058
C02,SYBR,RP49,Unkn-11,843,,17.64191393
C03,SYBR,RP49,Unkn-11,843,,17.62897797
C04,SYBR,RP49,Unkn-12,843,,18.04322547
C05,SYBR,RP49,Unkn-12,843,,18.10319197
C06,SYBR,RP49,Unkn-12,843,,17.94679263
C07,SYBR,RP49,Unkn-13,843,,18.14315429
C08,SYBR,RP49,Unkn-13,843,,17.89551088
C09,SYBR,RP49,Unkn-13,843,,17.9902732
C10,SYBR,RP49,Unkn-14,843,,18.37457394
C11,SYBR,RP49,Unkn-14,843,,18.38365054
C12,SYBR,RP49,Unkn-14,843,,18.30808596
C13,SYBR,RP49,Unkn-15,843,,17.75617229
C14,SYBR,RP49,Unkn-15,843,,17.71932079
C15,SYBR,RP49,Unkn-15,843,,17.46891379
D01,SYBR,RP49,Unkn-16,360,,18.02248897
D02,SYBR,RP49,Unkn-16,360,,17.94134317
D03,SYBR,RP49,Unkn-16,360,,18.20063157
D04,SYBR,RP49,Unkn-17,360,,18.27717012
D05,SYBR,RP49,Unkn-17,360,,18.60450936
D06,SYBR,RP49,Unkn-17,360,,18.44073793
F01,SYBR,RP49,Unkn-18,360,,22.55258169
F02,SYBR,RP49,Unkn-18,360,,22.57133228
F03,SYBR,RP49,Unkn-18,360,,22.99182
F04,SYBR,RP49,Unkn-19,360,,34.47411416
F05,SYBR,RP49,Unkn-19,360,,
F06,SYBR,RP49,Unkn-19,360,,34.62546819
D13,SYBR,RP49,Unkn-20,360,,18.09454399
D14,SYBR,RP49,Unkn-20,360,,17.45162613
D15,SYBR,RP49,Unkn-20,360,,17.9047533
E01,SYBR,CYP6G1,Unkn-21,776,,25.3445767
E02,SYBR,CYP6G1,Unkn-21,776,,27.52950802
E03,SYBR,CYP6G1,Unkn-21,776,,24.60958849
E04,SYBR,CYP6G1,Unkn-22,776,,24.33079629
E05,SYBR,CYP6G1,Unkn-22,776,,25.36741937
E06,SYBR,CYP6G1,Unkn-22,776,,24.05253238
E07,SYBR,CYP6G1,Unkn-23,776,,24.41246279
E08,SYBR,CYP6G1,Unkn-23,776,,24.19298874
E09,SYBR,CYP6G1,Unkn-23,776,,24.32324317
E10,SYBR,CYP6G1,Unkn-24,776,,24.53259403
E11,SYBR,CYP6G1,Unkn-24,776,,24.34360879
E12,SYBR,CYP6G1,Unkn-24,776,,24.95943008
E13,SYBR,CYP6G1,Unkn-25,776,,24.85659896
E14,SYBR,CYP6G1,Unkn-25,776,,24.49843787
E15,SYBR,CYP6G1,Unkn-25,776,,24.58043133
F01,SYBR,CYP6G1,Unkn-26,138,,19.36976428
F02,SYBR,CYP6G1,Unkn-26,138,,19.3742708
F03,SYBR,CYP6G1,Unkn-26,138,,19.71252794
F04,SYBR,CYP6G1,Unkn-27,138,,19.58127831
F05,SYBR,CYP6G1,Unkn-27,138,,19.69409964
F06,SYBR,CYP6G1,Unkn-27,138,,20.10267326
F07,SYBR,CYP6G1,Unkn-28,138,,20.35233992
F08,SYBR,CYP6G1,Unkn-28,138,,20.28871391
F09,SYBR,CYP6G1,Unkn-28,138,,20.12281024
F10,SYBR,CYP6G1,Unkn-29,138,,19.68001846
F11,SYBR,CYP6G1,Unkn-29,138,,19.41947903
F12,SYBR,CYP6G1,Unkn-29,138,,19.46110851
F13,SYBR,CYP6G1,Unkn-30,138,,19.17367073
F14,SYBR,CYP6G1,Unkn-30,138,,19.49461354
F15,SYBR,CYP6G1,Unkn-30,138,,19.63089111
G01,SYBR,CYP6G1,Unkn-31,843,,23.38353418
G02,SYBR,CYP6G1,Unkn-31,843,,23.62519719
G03,SYBR,CYP6G1,Unkn-31,843,,23.33518633
G04,SYBR,CYP6G1,Unkn-32,843,,23.5987258
G05,SYBR,CYP6G1,Unkn-32,843,,23.59912221
G06,SYBR,CYP6G1,Unkn-32,843,,23.51858376
G07,SYBR,CYP6G1,Unkn-33,843,,23.74056394
G08,SYBR,CYP6G1,Unkn-33,843,,24.15239023
G09,SYBR,CYP6G1,Unkn-33,843,,24.40122888
G10,SYBR,CYP6G1,Unkn-34,843,,23.96008997
G11,SYBR,CYP6G1,Unkn-34,843,,24.06211946
G12,SYBR,CYP6G1,Unkn-34,843,,23.55083525
G13,SYBR,CYP6G1,Unkn-35,843,,23.35325184
G14,SYBR,CYP6G1,Unkn-35,843,,23.69932885
G15,SYBR,CYP6G1,Unkn-35,843,,23.49231651
H01,SYBR,CYP6G1,Unkn-36,360,,19.39075951
H02,SYBR,CYP6G1,Unkn-36,360,,19.26021773
H03,SYBR,CYP6G1,Unkn-36,360,,19.6396768
H04,SYBR,CYP6G1,Unkn-37,360,,19.71599525
